user_id,name,age,email,address,device_type,listening_time,subscription_type,subscription_category
20,Jonathan Costa,69,igibbs@example.org,"482 Carl Islands, Sullivanfort, OK 27404",Tablet,7906,Premium,3 Month
21,Rachel Diaz,44,greenemary@example.net,"24657 Diana Divide Apt. 959, South Amberstad, ND 39602",Desktop,4475,Premium,Monthly
22,Wayne Chambers,18,wrightsonya@example.org,"665 Rose Road, Michaelshire, CA 96207",Tablet,3719,Premium,3 Month
23,Samantha Camacho,53,idominguez@example.org,"Unit 5167 Box 9926, DPO AP 17339",Mobile,5741,Free,Monthly
24,Evelyn Richards,28,haleyflores@example.com,"891 Miller Village, Ericashire, VI 69150",Mobile,7465,Family,3 Month
25,Jason Booker,44,gonzalezheather@example.com,"982 Cook Villages Apt. 090, Connieberg, CA 67362",Desktop,4043,Premium,Yearly
26,Brittany Holt,63,suarezrebecca@example.net,"82012 Judith Field, Port Mary, OH 65653",Mobile,8617,Free,Yearly
27,Darren Jenkins,59,rosecheryl@example.net,"3218 Olivia Street Apt. 022, Lake Brian, SD 55094",Desktop,1018,Free,Yearly
28,Mary Stephens,44,torresmichael@example.com,"PSC 0449, Box 1785, APO AA 50598",Tablet,7684,Free,Monthly
29,Roberto Wilson,44,wrightdustin@example.net,"955 Sims Center Suite 819, Port Kathleen, VA 47037",Desktop,4871,Family,Yearly
30,David Holmes,44,henry49@example.com,"94107 Carol Park, Hillport, FL 97912",Desktop,6069,Premium,Monthly
31,Beth Knight,65,ncortez@example.net,"22749 Cristina Fords Apt. 444, Lake Stephenfurt, CT 74200",Tablet,3051,Premium,Monthly
32,Carrie Lopez,32,brandi07@example.org,"470 Allen Rapid Suite 559, Maddenburgh, MS 74863",Desktop,4637,Free,Yearly
33,Jose Terrell,70,russellmiles@example.net,"94562 Jason Shoal Apt. 368, Port Barbara, PR 73722",Tablet,5813,Premium,3 Month
34,Derek Douglas,44,kendrawarren@example.com,"66262 Mary Mill, New Ashlee, NM 66511",Mobile,9198,Family,Monthly
35,Jamie Levine,44,xcrane@example.net,"8274 Joseph Bridge Suite 135, Williamsborough, OK 02894",Desktop,3782,Free,3 Month
36,David King,26,hbennett@example.org,"4810 Johnson Ridge, Lake Maria, GU 72164",Mobile,5489,Premium,3 Month
37,Earl Rodriguez,44,creese@example.net,"1417 Benjamin Place, Vanessafurt, NY 08387",Mobile,9136,Premium,Monthly
38,Amanda Williams,44,nicole46@example.com,"08783 Frank Trafficway Suite 172, South Courtney, WI 15645",Mobile,9684,Premium,Monthly
39,Lisa Stout,44,matthew94@example.com,"PSC 9428, Box 4717, APO AE 91724",Desktop,2666,Premium,Monthly
40,Casey Pratt,68,andrew22@example.com,"7854 Hannah Pines, East Christianside, UT 86107",Mobile,2258,Premium,Yearly
41,Joshua Nunez,44,ifrazier@example.org,"826 Thomas Fords Suite 650, Port Sandrastad, MT 13619",Desktop,4009,Premium,3 Month
42,Kelly White,44,jessicahartman@example.net,"90242 Donaldson Alley Suite 070, Port Carrie, DC 88030",Mobile,4432,Free,Monthly
43,Ann Russell,44,millsangela@example.org,"0016 Mccoy Plains, Nancyville, MN 64997",Tablet,2562,Free,Yearly
44,Nicholas Roberts,44,adrienne10@example.org,"70767 Shelby Mill Apt. 729, Zhangberg, GU 08881",Desktop,8477,Free,3 Month
45,Jorge Kidd,44,loretta29@example.com,"012 Matthew Ridges, South Shelley, VA 17114",Mobile,3990,Free,3 Month
46,Jacqueline Oliver,44,lisa95@example.org,"5622 Kelly Lake Apt. 298, East Timothyfort, IL 60422",Mobile,3958,Free,Monthly
47,Nicholas Brown,43,bryanchristina@example.net,"26619 Hayes Light, West Lisabury, NH 37060",Mobile,4363,Free,Monthly
48,Lauren Wilson,59,madison40@example.com,"97779 Bradley Passage Suite 442, Christybury, NE 53410",Mobile,5603,Free,3 Month
49,Tracy Martinez,44,griffinthomas@example.net,"090 Allen Road, Bookerville, OR 51818",Mobile,6607,Premium,Yearly
50,Aimee Wright,19,jennifer12@example.org,"046 Mary Oval Suite 469, Matthewshire, IN 78252",Desktop,4214,Family,Yearly
51,Lance Wolf,44,rweiss@example.org,"63984 Rachel Track, West Virginiafort, AK 98379",Mobile,654,Free,Monthly
52,Ashley Black,45,robertthomas@example.net,"096 Margaret Squares Apt. 954, Huanghaven, MD 29948",Mobile,9031,Premium,Monthly
53,Jackie Smith,44,paulsanchez@example.org,"812 Smith Drive, New Michael, RI 39650",Desktop,5324,Premium,3 Month
54,Danielle Garcia,23,qjones@example.com,"03580 Beth Trafficway Apt. 011, Lake Edwin, ME 96916",Desktop,460,Family,Monthly
55,Thomas Contreras,33,tjohnson@example.com,"99243 Murray Bypass Apt. 892, Langhaven, CO 72568",Desktop,830,Premium,Monthly
56,Paula Barron,44,xriley@example.org,"428 Simpson Springs Apt. 528, Kennethborough, MP 32571",Desktop,1456,Free,3 Month
57,Benjamin White,44,christopher71@example.net,"051 Shepard Parkways Apt. 674, Tiffanyland, OK 14251",Desktop,3699,Family,Yearly
58,Derek Garcia,65,dgraves@example.net,"173 Alicia Forks, Bryanburgh, GA 09730",Tablet,6241,Premium,Monthly
59,April Johnson,28,carlos04@example.net,"7558 Barbara Glen Suite 049, Keithbury, CT 39141",Tablet,1470,Free,3 Month
60,Jessica Lee,21,zhubbard@example.net,"371 West Run Apt. 994, Colonville, TX 29200",Desktop,4390,Family,Yearly
61,Randy Hayes,44,david06@example.net,"92605 James Ports Apt. 566, Port Melaniehaven, RI 65335",Mobile,8509,Family,Monthly
62,Jeremy Hill,44,clarkelizabeth@example.com,"1263 Richardson Ramp, Lake Scottside, NH 60981",Desktop,6031,Free,Yearly
63,Kerry Olson,22,wallacefrank@example.net,"08118 Hanna Oval, Port Ronaldton, ID 99555",Tablet,7031,Family,Monthly
64,Kimberly Sims,25,wmercado@example.com,"89150 Renee Views Apt. 825, Madisonview, AL 17352",Desktop,6352,Free,Yearly
65,Marvin Castro,63,sophia84@example.org,"391 Simpson Village Suite 562, West Valerieburgh, MT 55977",Mobile,1078,Premium,3 Month
66,Michael White Jr.,47,arnoldjennifer@example.org,"881 Martin Cape, South Elizabethtown, MH 37313",Desktop,2329,Family,Yearly
67,David Reilly,44,aescobar@example.com,"914 Cook Unions Apt. 384, North Chelsey, TX 30906",Tablet,5493,Premium,Yearly
68,Alicia Hill,44,caseyvazquez@example.com,"6202 Cruz Valleys, Jacksonfort, IL 61116",Desktop,1068,Family,3 Month
69,Brandon Chavez,64,vbarnett@example.com,"USNV Keith, FPO AE 18852",Tablet,327,Premium,Yearly
70,Nicole Taylor,44,lauren50@example.org,"1848 Jones Ramp, Steelemouth, AK 88299",Desktop,3353,Premium,3 Month
71,Megan Campbell,44,emily99@example.com,"51864 Joseph Spring, Taraborough, MP 46981",Mobile,1393,Family,3 Month
72,Alexander Baxter,44,phernandez@example.org,"191 Smith Street, East Curtisbury, HI 19088",Desktop,4396,Family,Yearly
73,Courtney Hogan,44,washingtonkristy@example.net,"Unit 0542 Box 0006, DPO AP 16484",Tablet,9085,Family,3 Month
74,Jessica Bean,40,zavalachristine@example.org,"287 William Brooks, West Leslie, WV 38173",Desktop,2632,Premium,Yearly
75,Nicholas Young,44,smithjeffrey@example.net,"Unit 3239 Box 4756, DPO AA 56983",Desktop,6124,Family,Yearly
76,Wendy Ellis,50,jonathanmiller@example.net,"3195 Julie Gardens, Lake Christine, MS 44031",Mobile,4438,Family,3 Month
77,Kimberly Shaffer,70,theresa32@example.net,"87613 Zachary Glens Suite 760, Jacksonmouth, OR 19819",Mobile,7643,Family,Yearly
78,Olivia Macias,44,hicksbrittany@example.net,"4217 Mcconnell Stravenue, Gabrielhaven, PW 56992",Desktop,3790,Premium,Monthly
79,Nicole Oneal,48,amorrison@example.com,"166 Anderson Harbors Suite 531, New Taylor, MO 13033",Mobile,5169,Premium,3 Month
80,Pamela Stewart,44,melaniedougherty@example.net,"0991 Bennett Corner, New Brucechester, VT 41295",Tablet,6181,Free,3 Month
81,Joel Wells,39,krauseethan@example.net,"021 Jimmy Lock Suite 736, Jennifertown, VI 14662",Desktop,8799,Family,3 Month
82,Jessica Garrett,34,ebraun@example.org,"PSC 2967, Box 3634, APO AE 59835",Tablet,3533,Free,3 Month
83,Brandi Armstrong,67,kyle37@example.com,"PSC 2294, Box 8812, APO AE 68447",Tablet,5572,Family,Yearly
84,William Smith,41,gatestheresa@example.org,"08390 Lowery Rest Suite 600, Davidmouth, AR 00713",Mobile,6366,Family,3 Month
85,Matthew Nunez,26,jamesjoyce@example.org,"50892 James Forest, Kristaton, AZ 75707",Tablet,8791,Premium,3 Month
86,David Martinez,44,hsanders@example.com,"563 Kaitlyn Skyway Suite 806, Perezville, CO 56453",Mobile,2546,Premium,Yearly
87,Joshua Garner,47,hallgina@example.net,"463 Olivia Junction Suite 972, Hortonmouth, ND 51626",Desktop,9379,Premium,3 Month
88,Adam Young,31,jennifer51@example.net,"5880 Lucas Wells, Robertburgh, ND 69794",Tablet,5749,Premium,3 Month
89,Edward Austin,44,uramirez@example.org,"9347 Flores Wall, West Jordan, AZ 55842",Mobile,2002,Family,Monthly
90,Kyle Lewis,44,david99@example.org,"0520 Freeman Unions, Goodwinfurt, MD 30508",Tablet,4135,Free,Monthly
91,Vincent Henry,54,speterson@example.org,"77078 Camacho Prairie, Stewartmouth, FL 76651",Tablet,2698,Premium,Yearly
92,Christopher Day,46,jackramirez@example.com,"169 Donna Burg Suite 975, Port Alexandraberg, MO 71884",Desktop,9533,Free,Yearly
93,Jesse Jefferson,60,jason18@example.org,"4013 Wilcox Fork Apt. 959, New Melissamouth, MT 32676",Tablet,6958,Premium,Monthly
94,David Ayala,44,larajoan@example.org,"PSC 3030, Box 8074, APO AA 50821",Desktop,5908,Premium,Yearly
95,Frances Mendez,23,evelynvaldez@example.com,"05102 Kimberly Bypass, West Robert, DE 66087",Desktop,6403,Family,3 Month
96,James Kelley,42,cbrown@example.org,"72643 Grant Freeway, Johnsonhaven, TN 23407",Mobile,2328,Premium,Monthly
97,Corey Hart,44,zacharyrobbins@example.org,"Unit 6059 Box 0321, DPO AE 02718",Desktop,4424,Free,Monthly
98,Ashley Lopez,32,garrettjennifer@example.com,"041 Lee Key, Cherylport, IN 79001",Desktop,5868,Premium,3 Month
99,Natalie Brown,39,emily69@example.com,"5290 Emily Lane, Deniseburgh, PR 28548",Mobile,7906,Premium,3 Month
100,Christina Wallace,48,cbrown@example.net,"80419 Kristin Road Apt. 508, Roseborough, FL 24717",Tablet,505,Premium,3 Month
101,Alison Boyer,29,holly21@example.net,"8709 Farrell Parkway, Watersmouth, UT 95862",Desktop,7385,Free,3 Month
102,Rachel Beard,39,wendy80@example.com,"38845 Bell Street, East Regina, KY 70836",Desktop,304,Family,Yearly
103,Alan Roy,44,kristen14@example.org,"279 Michael Lodge Apt. 875, Alvareztown, MP 26090",Desktop,1631,Free,Monthly
104,April Nguyen,44,anthonytaylor@example.net,"6132 Erica Tunnel Apt. 783, North Elizabeth, IL 40301",Mobile,1366,Free,Monthly
105,Jeffrey Davis,66,laura46@example.com,"PSC 3034, Box 6148, APO AA 98836",Mobile,1474,Free,Yearly
106,Diana Bowman,19,marcialee@example.org,"0269 Barber Glen, Leachburgh, AR 72220",Desktop,101,Premium,Yearly
107,Danny Porter,44,cchapman@example.net,"611 Maureen Throughway, Katherinefurt, SD 92181",Tablet,4880,Premium,3 Month
108,Richard Figueroa,44,xpeterson@example.org,"866 Alvarez Avenue Suite 355, Port Michael, UT 91134",Desktop,5966,Premium,3 Month
109,Jorge Thomas,44,schwartzamanda@example.com,"68833 Mccarthy Garden, New Kyleton, AL 34735",Desktop,2241,Premium,Yearly
110,Kyle Collins,44,perrynatalie@example.com,"31482 Weber Summit Suite 701, Lonniebury, IL 97486",Desktop,1899,Free,3 Month
111,Christina Scott,67,hopkinsanthony@example.com,"3284 Smith Spur, East Travisborough, ID 18539",Mobile,4446,Premium,3 Month
112,Rebecca Sandoval,39,taylorjoseph@example.org,"67222 Michael Forks, Lake Stephenborough, NM 55172",Desktop,1308,Free,Yearly
113,Emily Ortiz,54,elizabethrhodes@example.com,"449 Michael Shoal, Hallchester, TX 83545",Mobile,5621,Premium,Monthly
114,Mary Cohen,44,chloe56@example.net,"42671 Ashley Plains Apt. 520, Angelabury, VT 49867",Desktop,6339,Premium,Yearly
115,Holly Blanchard,44,kellyrice@example.net,"PSC 2573, Box 2662, APO AE 72645",Mobile,8033,Premium,Monthly
116,Richard Berry,44,slynch@example.com,"841 Warren Ranch Apt. 379, North Deborahland, MI 85106",Mobile,1965,Family,Yearly
117,Catherine Chapman,51,hortonlindsay@example.net,"03665 Vance Port Apt. 990, West Thomastown, MO 76159",Mobile,5067,Family,3 Month
118,Taylor Wang,44,tiffany12@example.com,"7299 Shaw Plain Apt. 476, East Alexis, MA 38678",Mobile,5800,Family,Monthly
119,Elizabeth Burton,44,douglaswhite@example.com,"1275 Samuel Fields Suite 178, East Jasonberg, AS 54240",Desktop,4868,Free,Monthly
120,Nancy Gomez,44,jacksonpatricia@example.org,"9854 Taylor Fork, Marshallland, MA 25675",Tablet,7784,Premium,Yearly
121,Stephanie Cohen,44,dudleydavid@example.org,"9236 Tina Well Suite 722, Lake Williammouth, PA 31738",Desktop,6675,Family,3 Month
122,Mike Nash DVM,40,jacquelinefreeman@example.org,"74929 Knight Manor, Port Jeffrey, DC 70563",Mobile,7672,Premium,Yearly
123,Bradley Johnson,44,jonesandrea@example.net,"70008 Wright Ports Suite 238, Cruzside, OH 43171",Desktop,1045,Premium,Yearly
124,Margaret Gutierrez,37,deanjames@example.com,"71817 Shepherd Place Suite 658, Bethanyside, AR 85789",Desktop,2371,Free,3 Month
125,Scott Barnett,62,dennis71@example.com,"05338 Sean Estate Suite 907, Brooksville, HI 47073",Tablet,2900,Free,Yearly
126,Daniel Mendez,58,erica82@example.org,"44123 Powell Valleys Apt. 368, Craigbury, OK 14491",Desktop,9890,Premium,Monthly
127,Chelsea Kennedy,44,traciramsey@example.net,"14266 Paul Roads Suite 852, East Alicia, TX 42303",Desktop,3391,Premium,Monthly
128,Gregory Elliott,35,melissa63@example.org,"USNS Mason, FPO AE 92057",Mobile,4505,Premium,Monthly
129,Lisa Patterson,44,rjoseph@example.net,"224 David Fall Suite 838, Smithside, NH 25163",Tablet,9204,Premium,Monthly
130,Matthew Simmons,44,joshuaharrison@example.org,"99190 Johnson Dam, North Kylehaven, NJ 02521",Mobile,8736,Premium,3 Month
131,Anthony Smith,60,ellisonana@example.net,"77758 Michael Pines, Starkborough, PW 49976",Mobile,5089,Premium,Monthly
132,Nathan Tate,44,bwong@example.net,"857 Johnson Mill, New Connorfort, WI 92343",Desktop,6519,Premium,Yearly
133,Steven Collins,26,dcarlson@example.org,"80189 Lopez Stravenue, Middletonview, FL 34138",Mobile,5584,Premium,Monthly
134,Gabriella Calderon,44,edgargraham@example.org,"090 Elliott Circles Suite 251, East Michael, WV 20577",Mobile,5920,Premium,Yearly
135,Brooke Thornton,44,hannahjenkins@example.com,"9891 Randy Freeway Apt. 016, Jamiechester, NE 73444",Mobile,2504,Family,3 Month
136,Jeremy Goodman,22,kelly87@example.net,"481 Barnett Underpass Suite 462, North Alan, WY 98748",Tablet,5011,Premium,Monthly
137,Jeffrey Clark,69,tibarra@example.net,"125 Bradley Terrace Apt. 003, Holtbury, IA 08252",Mobile,6466,Free,Monthly
138,Karen Lewis,44,carlosbarajas@example.net,"6126 Jessica Club, East Misty, NH 91513",Mobile,6945,Premium,Monthly
139,Tyler Lawrence,46,millermelissa@example.com,"32881 Warren Camp, Bryanstad, WY 19444",Desktop,5761,Premium,Yearly
140,Joseph Thomas,24,wklein@example.com,"88815 Wood Ridges, Brownland, MO 94285",Mobile,7018,Free,Yearly
141,Matthew Lewis,44,marilynpeterson@example.net,"PSC 3247, Box 2148, APO AP 60890",Desktop,2263,Premium,Monthly
142,Megan Rice,44,bryanperez@example.net,"99516 Gabriel Avenue Apt. 054, Port Alanborough, AR 37652",Desktop,4688,Free,Yearly
143,Stephanie Wilson,44,hansencharles@example.com,"9751 Shaun Place, West Walter, AZ 03885",Mobile,3874,Family,3 Month
144,Timothy Barker,44,romeroethan@example.org,"536 Richards Rue Apt. 213, Collinbury, LA 63996",Tablet,2614,Premium,Monthly
145,Kevin Ross,44,fyoung@example.org,"PSC 7853, Box 9979, APO AP 36194",Mobile,3523,Premium,Yearly
146,Bryan Burns,35,rebeccacampbell@example.net,"821 Hoover Lodge Apt. 102, East Danielberg, NC 49997",Tablet,3079,Premium,Yearly
147,Amy Hernandez,44,jamesgraves@example.com,"2402 Daniel Mission, New Michaelmouth, VA 70188",Mobile,3487,Free,Yearly
148,Glenn Chandler,49,kennethbarnes@example.com,"79124 Melissa Parks, East Cory, AR 19801",Tablet,622,Premium,Yearly
149,David Leon,57,marycarter@example.com,"7104 Hernandez Pike, South Elizabeth, MP 08523",Tablet,7038,Premium,Yearly
150,Joshua Taylor,44,andrew99@example.net,"169 Alvarez Islands, New John, MT 71212",Desktop,1618,Family,Monthly
151,Anna Lang,44,cindylee@example.org,"Unit 3086 Box 1527, DPO AP 16199",Desktop,5064,Premium,3 Month
152,Todd Higgins,44,smithjohn@example.org,"4967 Odom Motorway Suite 354, North Jacquelineberg, LA 33705",Desktop,2362,Premium,Yearly
153,Isaiah Henry,19,pamelamartinez@example.com,"885 Jones Alley Apt. 338, Davidland, NJ 62618",Tablet,2249,Free,Monthly
154,Jennifer Perkins,54,serranojeffrey@example.com,"Unit 4437 Box 3550, DPO AP 30282",Mobile,138,Premium,Yearly
155,Reginald Cooper,44,lisasanchez@example.org,"99109 Olivia Heights Apt. 426, Fosterhaven, FL 92770",Desktop,4499,Family,Monthly
156,Jonathan Fisher,44,amanda32@example.org,"507 Ivan Shore, North Michelle, CT 53538",Tablet,8431,Free,Yearly
157,Donna Diaz,38,samuel14@example.org,"92450 Corey Station Apt. 275, Petersonville, AK 85944",Mobile,1195,Premium,3 Month
158,Jason Sanders,44,rgriffin@example.net,"62631 Goodman Ferry, North Richardfort, OR 77323",Tablet,4837,Premium,Monthly
159,Nathan Olson,44,andersonmichael@example.org,"272 Teresa Expressway Apt. 043, Ashleyfurt, NY 30058",Mobile,6005,Premium,3 Month
160,Mallory Berry,44,jackie75@example.net,"2443 Heather Fields Suite 101, Rushbury, IA 06371",Desktop,8650,Free,3 Month
161,Amy Jones,44,alexander33@example.org,"175 Ryan Courts, Port Tara, UT 54017",Desktop,5864,Free,Monthly
162,Joseph Reilly,58,ebell@example.org,"77246 Patricia Pike Suite 801, Deborahland, MS 46606",Desktop,6996,Family,3 Month
163,Raymond Morris,39,frangel@example.org,"319 Maria Mountain, Karenland, PA 17798",Tablet,9664,Free,Monthly
164,Laurie Walters,44,lisa25@example.net,"80201 Sarah Turnpike Apt. 633, Lake Laurie, ME 26264",Mobile,665,Free,Monthly
165,Mary Martin,46,rachel89@example.net,"96455 Jones Prairie Suite 188, Christianburgh, NC 97913",Mobile,729,Free,Monthly
166,Anna Gomez,44,steelelaura@example.org,"4799 Bryant Isle, West Johnny, ID 80708",Mobile,3990,Family,3 Month
167,William Gray,42,justin95@example.net,"3819 Jamie Walks, New Bianca, UT 25956",Mobile,4609,Premium,Monthly
168,Jessica Roberts,44,tammy60@example.org,"484 James Causeway Suite 458, East Rodney, NC 99365",Mobile,863,Premium,Monthly
169,Roy Matthews,44,larsonlisa@example.net,"668 Anthony Trail Suite 096, Warnerchester, MS 04846",Mobile,8445,Premium,3 Month
170,Charles Hill,44,tcoleman@example.org,"91703 Ashley Square Apt. 820, Katherinechester, WI 82895",Tablet,798,Premium,Yearly
171,Roy Cook,44,cannonsuzanne@example.com,"04199 Hunter Unions Apt. 905, Mannside, NM 25094",Mobile,2184,Premium,3 Month
172,Michelle Sutton,46,wanderson@example.com,"03607 Lindsay Burgs Apt. 059, Port Michaelport, WY 89912",Mobile,2902,Family,3 Month
173,Ashley Murphy,40,bparker@example.org,"73251 Rodriguez Motorway, Kingstad, ID 09111",Mobile,9937,Premium,Monthly
174,Joseph Barton,44,malvarado@example.org,"646 Miranda Trace, South Betty, AZ 06801",Mobile,802,Premium,Monthly
175,Jessica Howard,44,abigail21@example.net,"8777 Mccoy Gateway, Jennafort, CO 93960",Tablet,1427,Premium,3 Month
176,Russell Bentley,66,uwalter@example.com,"3938 Mark Drives Apt. 062, Gomezport, LA 27088",Mobile,2169,Premium,3 Month
177,Madison George,44,jordanclayton@example.com,"34792 Luis Flats Apt. 004, Walkerport, AZ 40203",Tablet,5165,Premium,3 Month
178,Thomas Mosley,69,peggyrios@example.org,"78030 Sarah Greens, Lake Kristin, VA 90817",Mobile,3657,Free,Yearly
179,Lori Brown,44,lindsey87@example.com,"USS Lin, FPO AP 50587",Tablet,3255,Premium,3 Month
180,Jerry Andrews,44,ugonzalez@example.com,"7694 Banks Bypass, North Pamborough, AS 46088",Mobile,9300,Premium,Monthly
181,Charles Jackson,41,michelle37@example.org,"PSC 2119, Box 9761, APO AA 03988",Mobile,4178,Family,3 Month
182,Michael Sexton,44,kathleen42@example.com,"27802 Mcdowell Cliff Suite 789, Port Karenchester, DC 54053",Mobile,1704,Premium,Monthly
183,Megan Powell,36,taylordaniel@example.com,"24616 King Run Suite 612, Carlburgh, TX 59118",Desktop,2257,Free,Yearly
184,Michael Sullivan,28,crystal03@example.net,"7468 Kristy Lodge Apt. 683, Paigeport, AS 04656",Mobile,2022,Premium,Yearly
185,Mark Blackwell,44,randy96@example.net,"PSC 9420, Box 2562, APO AA 66854",Tablet,6440,Premium,Monthly
186,Richard Aguirre,44,oflores@example.com,"7275 Jones Stravenue, Kathrynchester, IA 92886",Tablet,2226,Premium,3 Month
187,Karen Sweeney,44,savannah32@example.net,"556 Rodriguez Landing Apt. 490, West Lorichester, NC 95480",Desktop,4441,Free,3 Month
188,Zoe Burke,44,qgallagher@example.com,"4119 Amanda Club, New Kathryn, WA 32067",Tablet,7059,Premium,Monthly
189,Pamela Peterson,44,ntorres@example.com,"USS Miller, FPO AP 27432",Tablet,9787,Free,Monthly
190,Amy Mcfarland,19,daniel80@example.net,"USS Lewis, FPO AP 15292",Mobile,5794,Family,3 Month
191,Diana Brown,25,ttorres@example.net,"941 Marcia Grove Apt. 577, North Juanstad, MA 03303",Tablet,2221,Premium,3 Month
192,Mariah Johnson,65,michaelchen@example.net,"Unit 8303 Box 4391, DPO AE 63942",Tablet,2965,Premium,Monthly
193,Sandra Kramer,44,torrestimothy@example.org,"36737 Megan Centers, Staffordfurt, PA 04482",Mobile,448,Free,Monthly
194,Julie Rojas,50,dillonamber@example.net,"USS King, FPO AP 27809",Desktop,6148,Premium,3 Month
195,Tamara Levine,44,michael73@example.net,"5542 Larson Manor Suite 180, Bradfordborough, AL 16667",Desktop,5000,Premium,Yearly
196,Michael Massey,44,michael03@example.net,"6899 Crawford Plain Suite 113, Vanceside, LA 33746",Desktop,665,Premium,Monthly
197,Cassandra Wood,45,amandaarmstrong@example.com,"61397 Cortez Forks Suite 052, Clarktown, AR 25730",Mobile,5721,Premium,3 Month
198,Samuel Cannon,25,tdavidson@example.com,"699 Martinez Glens, Taylorport, CA 55624",Desktop,1379,Premium,3 Month
199,Taylor Orozco,44,hnavarro@example.org,"8835 Joel Drive Apt. 754, Keithborough, NC 10701",Tablet,6048,Family,3 Month
200,Paul Wilcox,69,martingregory@example.net,"4529 Brewer Orchard, South Annbury, CA 37837",Tablet,411,Free,3 Month
201,Peggy Campbell,44,melissa86@example.com,"PSC 7485, Box 5662, APO AE 86913",Mobile,7419,Premium,Monthly
202,Elizabeth Gardner,20,nathan12@example.net,"USNS Anderson, FPO AE 43192",Mobile,6984,Free,Monthly
203,Charles Graham,69,pwilliams@example.com,"30802 Christopher River Suite 773, Hammondbury, IA 52963",Mobile,8153,Premium,3 Month
204,Beth Robinson,46,upayne@example.org,"37261 Natasha Brooks, Lake Annfort, MH 55366",Mobile,9131,Premium,3 Month
205,Joshua Evans,44,lisasanford@example.org,"9748 Kelly Avenue, East Amandahaven, OH 41463",Tablet,808,Free,Yearly
206,Shaun Harper,44,davidrichards@example.net,"9493 Brian Camp, Michelleton, DE 79553",Mobile,3573,Free,Monthly
207,Shane Anderson,44,odavis@example.net,"180 Kramer Plaza, Robertport, PW 33274",Desktop,7419,Premium,Monthly
208,David Brown,44,danielleglover@example.org,"7110 Teresa Shoals Suite 163, East Randy, RI 43218",Mobile,5350,Premium,3 Month
209,Kristin Rowland,43,amy06@example.net,"PSC 5091, Box 7748, APO AA 54659",Desktop,6573,Free,3 Month
210,John Chapman,44,agarcia@example.org,"25831 Andrews Lock Suite 153, Francochester, DE 57299",Desktop,9994,Family,3 Month
211,Kim Christensen,64,thomassean@example.com,"USNS Kirby, FPO AP 49232",Tablet,2327,Free,Yearly
212,Kevin Guzman,44,jacksonjerry@example.com,"64665 Stephen Meadows Suite 274, Bradleyhaven, FL 63965",Desktop,2560,Premium,3 Month
213,Carlos Holmes,28,brandon00@example.org,"22925 Oneill Mills, New Gabrielleburgh, RI 40389",Tablet,2639,Free,3 Month
214,Sharon Stewart,40,eric51@example.com,"738 Steven Drive, Lake Sara, AR 87169",Mobile,2995,Free,3 Month
